molecule_chembl_id,,fix_smiles,standard_value,pic50
CHEMBL4084106,,CC(C)(N)c1nc(-c2ccc(OC(F)(F)F)cc2)c[nH]1,27000,4.568636236
CHEMBL3764088,,O=C(Cn1ncccc1=O)Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1,30000,4.522878745
CHEMBL3765335,,CC(C(=O)Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)n1ncccc1=O,30000,4.522878745
CHEMBL3764592,,O=C(Cn1ccccc1=O)Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1,30000,4.522878745
CHEMBL3763998,,CC(C(=O)Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3cccnc3)N2)cc1)n1ncccc1=O,30000,4.522878745
CHEMBL3764950,,O=C(Cn1cnccc1=O)Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1,30000,4.522878745
CHEMBL3763594,,O=C(Cn1cccnc1=O)Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1,30000,4.522878745
CHEMBL5178575,,FC(F)(F)c1c(Cl)ccc(-n2ccnn2)c1Cl,30000,4.522878745
CHEMBL4065251,,CCn1nnc(CN2CCN(C(=O)c3ccc(C[C@@H]4CC[C@H]([C@H](O)c5ccccc5)N4)cc3)CC2)n1,30000,4.522878745
CHEMBL4085173,,O=C(c1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)N1CCN(Cc2nnn(CC(F)(F)F)n2)CC1,30000,4.522878745
CHEMBL4103112,,O=C(c1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)N1CCN(Cc2nnn(CC(F)F)n2)CC1,30000,4.522878745
CHEMBL4066314,,O=C(c1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)N1CCN(Cc2ncn(CC(F)(F)F)n2)CC1,30000,4.522878745
CHEMBL4087670,,O=C(c1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)N1CCN(Cc2ncn(CC(F)F)n2)CC1,30000,4.522878745
CHEMBL3113257,,CC(C)(C)OC(=O)n1cc(-c2ccc(NC(=O)C3CCCN3)cc2)nc1N,20000,4.698970004
CHEMBL3113259,,Nc1nc(-c2ccc(NC(=O)C3CCCN3)cc2)c[nH]1,30000,4.522878745
CHEMBL3113244,,CC(C)(C)OC(=O)n1cc(-c2ccc(NC(=O)c3ccc[nH]3)cc2)nc1N,30000,4.522878745
CHEMBL3113246,,Nc1nc(-c2ccc(NC(=O)c3ccc[nH]3)cc2)c[nH]1,30000,4.522878745
CHEMBL3113245,,Nc1nc(-c2cccc(NC(=O)c3ccc[nH]3)c2)c[nH]1,30000,4.522878745
CHEMBL1382,,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,31622.78,4.499999953
CHEMBL657,,CN(C)CCOC(c1ccccc1)c1ccccc1,41000,4.387216143
CHEMBL3113249,,CC(C)(C)OC(=O)n1cc(-c2ccc(NC(=O)c3ccco3)cc2)nc1N,30000,4.522878745
CHEMBL3617065,,CNS(=O)(=O)NC(=O)c1cc(Cl)c(Oc2cnc(OCC(C)C)c(Cl)c2)cc1F,7200,5.142667504
CHEMBL4537339,,CS(=O)(=O)NC(=O)c1cc(F)c(Oc2ccc(Cl)c(Cl)c2)cc1F,30000,4.522878745
CHEMBL1118,,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,199526.23,3.700000003
CHEMBL3112596,,CNc1nc(-c2cccc(NC(=O)c3cc4ccccc4[nH]3)c2)c[nH]1,20000,4.698970004
CHEMBL3113252,,Nc1nc(-c2cccc(NC(=O)c3cc4ccccc4[nH]3)c2)c[nH]1,30000,4.522878745
CHEMBL3113243,,CNc1nc(-c2cccc(NC(=O)c3cc4ccccc4[nH]3)c2)cn1C(=O)OC(C)(C)C,30000,4.522878745
CHEMBL3113250,,CC(C)(C)OC(=O)n1cc(-c2cccc(NC(=O)c3cc4ccccc4[nH]3)c2)nc1N,30000,4.522878745
CHEMBL2164381,,N#CCCn1c(O)c2ccccc2c1C(=O)NCc1ccc(OC(F)(F)F)cc1,26000,4.585026652
CHEMBL3657882,,CN(C)S(=O)(=O)NC(=O)c1cc(Cl)c(OCC23CC4CC(C2)C(F)(F)C(C4)C3)cc1F,3760,5.424812155
CHEMBL3341985,,CS(=O)(=O)NC(=O)c1cc(Cl)c(OCC23CC4CC(CC(C4)C2)C3)cc1F,1900,5.721246399
CHEMBL3657820,,CN(C)S(=O)(=O)NC(=O)c1cc(Cl)c(OCC23CC4CC(CC(C4)C2)C3)cc1F,772,6.1123827
CHEMBL3657852,,CS(=O)(=O)NC(=O)c1ccc(OCC23CC4CC(CC(C4)C2)C3)c(Br)c1,1950,5.709965389
CHEMBL105929,,Cc1ccc(C(=O)N=C(N)Nc2ccccc2C(C)C)cc1,4500,5.346787486
CHEMBL107394,,Cc1ccc(C(=O)N=C(N)Nc2ccc(C(C)C)cc2)cc1,19700,4.705533774
CHEMBL106351,,Cc1ccc(C(=O)N=C(N)Nc2ccc(OC(C)C)cc2)cc1,5750,5.240332155
CHEMBL3128180,,Cc1nc2c(s1)CCC2C(=O)Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3cccnc3)N2)cc1,30000,4.522878745
