Molecule ChEMBL ID,Molecule Name,Smiles,Standard Relation,Standard Type,Standard Value,Assay Description,Document Journal,Document Year,Data Validity Comment
CHEMBL4071736,,O=S(=O)(Nc1nccs1)c1cc(Cl)c(NC[C@]23CCC[C@@]2(O)CCC3)cc1F,'=',IC50,169.0,Inhibition of human Nav1.5 inactivated state form expressed in HEK293 cells at -60 mV holding potential by by automated patch clamp electrophysiology assay,Bioorg Med Chem,2017,
CHEMBL4099769,,O=S(=O)(Nc1nccs1)c1cc(Cl)c(NC2CCCOC2)cc1F,'=',IC50,796.0,Inhibition of human Nav1.5 inactivated state form expressed in HEK293 cells at -60 mV holding potential by by automated patch clamp electrophysiology assay,Bioorg Med Chem,2017,
CHEMBL4084685,,O=S(=O)(Nc1nccs1)c1cc(Cl)c(NC[C@H]2CCC[C@H](O)C2)cc1F,'=',IC50,281.0,Inhibition of human Nav1.5 inactivated state form expressed in HEK293 cells at -60 mV holding potential by by automated patch clamp electrophysiology assay,Bioorg Med Chem,2017,
CHEMBL4094879,,O=S(=O)(Nc1nccs1)c1cc(Cl)c(NC[C@H]2CCC[C@@H](O)C2)cc1F,'=',IC50,151.0,Inhibition of human Nav1.5 inactivated state form expressed in HEK293 cells at -60 mV holding potential by by automated patch clamp electrophysiology assay,Bioorg Med Chem,2017,
CHEMBL4092435,,O=S(=O)(Nc1nccs1)c1cc(Cl)c(NC[C@H]2CC[C@H](O)CC2)cc1F,'=',IC50,156.0,Inhibition of human Nav1.5 inactivated state form expressed in HEK293 cells at -60 mV holding potential by by automated patch clamp electrophysiology assay,Bioorg Med Chem,2017,
CHEMBL4101414,,O=S(=O)(Nc1nccs1)c1cc(Cl)c(NCC2CCOC2)cc1F,'=',IC50,3200.0,Inhibition of human Nav1.5 inactivated state form expressed in HEK293 cells at -50 mV holding potential by by automated patch clamp electrophysiology assay,Bioorg Med Chem,2017,
CHEMBL4072883,,O=S(=O)(Nc1nccs1)c1cc(Cl)c(NC[C@H]2CCCOC2)cc1F,'=',IC50,6400.0,Inhibition of human Nav1.5 inactivated state form expressed in HEK293 cells at -50 mV holding potential by by automated patch clamp electrophysiology assay,Bioorg Med Chem,2017,
CHEMBL4092025,,O=S(=O)(Nc1nccs1)c1cc(Cl)c(NC[C@@H]2CCCOC2)cc1F,'=',IC50,5000.0,Inhibition of human Nav1.5 inactivated state form expressed in HEK293 cells at -50 mV holding potential by by automated patch clamp electrophysiology assay,Bioorg Med Chem,2017,
CHEMBL4094490,,O=S(=O)(Nc1nccs1)c1cc(Cl)c(NCCC2CCCOC2)cc1F,'=',IC50,2000.0,Inhibition of human Nav1.5 inactivated state form expressed in HEK293 cells at -50 mV holding potential by by automated patch clamp electrophysiology assay,Bioorg Med Chem,2017,
CHEMBL4065325,,CC1(CNc2cc(F)c(S(=O)(=O)Nc3nccs3)cc2Cl)COC1,'=',IC50,14800.0,Inhibition of human Nav1.5 inactivated state form expressed in HEK293 cells at -50 mV holding potential by by automated patch clamp electrophysiology assay,Bioorg Med Chem,2017,
CHEMBL4100176,,CON=C1CCC(CNc2cc(F)c(S(=O)(=O)Nc3nccs3)cc2Cl)CC1,'=',IC50,3600.0,Inhibition of human Nav1.5 inactivated state form expressed in HEK293 cells at -50 mV holding potential by by automated patch clamp electrophysiology assay,Bioorg Med Chem,2017,
CHEMBL4068484,,O=S(=O)(Nc1nccs1)c1cc(Cl)c(NC[C@H]2CC[C@@H](O)CC2)cc1F,'=',IC50,730.0,Inhibition of human Nav1.5 inactivated state form expressed in HEK293 cells at -50 mV holding potential by by automated patch clamp electrophysiology assay,Bioorg Med Chem,2017,
CHEMBL4095822,,O=S(=O)(Nc1nccs1)c1cc(Cl)c(NCC2CCC3(CC2)OCCO3)cc1F,'=',IC50,3200.0,Inhibition of human Nav1.5 inactivated state form expressed in HEK293 cells at -50 mV holding potential by by automated patch clamp electrophysiology assay,Bioorg Med Chem,2017,
CHEMBL4849813,,O=S(=O)(Nc1cccc(F)n1)c1cc(F)c(OC2CCN(CC(F)(F)F)CC2c2ccc(F)c(F)c2)cc1F,'=',IC50,240.0,Inhibition of human Nav1.5 by automated voltage clamp electrophysiology,Bioorg Med Chem Lett,2021,
CHEMBL4854735,,O=S(=O)(Nc1cccc(F)n1)c1cc(F)c(O[C@H]2CCN(CC(F)(F)F)C[C@@H]2c2ccc(F)c(F)c2)c(F)c1,'=',IC50,65.0,Inhibition of human Nav1.5 by automated voltage clamp electrophysiology,Bioorg Med Chem Lett,2021,
CHEMBL3682841,,COc1cc(C(F)(F)F)ccc1-c1cnnc2cc(S(=O)(=O)Nc3nccs3)ccc12,'>',IC50,30000.0,"In Vitro PX Assay: 293 cells stably transfected with Nav 1.5 were recorded in whole cell voltage clamp mode with the PatchXpress automated electrophysiology system according the manufacturer's specifications (Molecular Devices, LLC, Sunnyvale, Calif.). Cells were held at a holding potential of −50 mV to inactivate sodium channels. To elicit sodium currents the voltage was changed to −120 mV to recover a portion of the channels, followed by delivery of test pulses of 20 msec duration to 0 mV, at 0.1 Hz. A single concentration of test compound was applied to cells for a duration of 5 minutes. Peak sodium current was measured at the end of the compound addition period to determine percent inhibition.",,2015,
CHEMBL1914835,,Cl.O=C(CCc1ccccc1)c1ccccc1OCC(O)CN1CCC(c2ccccc2)CC1,'>',IC50,5000.0,Inhibition of human cloned Nav1.5 channel expressed in chinese hamster CHO cells assessed as phasic inhibition after 5 mins by patch clamp assay,J Med Chem,2011,
